
### emit yolov8n w8check
[emit] variant w8check  grid [-127, 127]  window (-1, 3)  form auto
[emit] float  models/yolov8n_cut.onnx  sha256 11b52c2530def3c99bccc4bee39a40683aab8619d4278a334b5f0f78c43fd0a1
[emit] xint8  models/yolov8n_cut_xint8.onnx  sha256 f02e86ba1bf61ff3fdc159e29b15259567e279df06f68c6d9adeb966fe56c885
[check] 63 Convs: stored int8 == clip(rint(w / s8), -127, 127) of the float weight, and choose_pos(-127..127, window -1..3) == choose_pow2_minmse == shipped pos8, on all 63
[check] graph_diff vs shipped: node_delta 0, init mismatches 0, weights changed 0/126 int8 initializers
[check] graph_diff vs shipped + intended rewrite only: empty
[check] grid [-127, 127], multiple of 2**k with k in [0, 4] (form b), <= 255 levels per group: all groups; float identity stored * scale == q * 2**-pos on 63 convs
conv                                                    shape form  grp pos8    pos4     k edge  SQNR8  SQNR4  clip% lvl sh-k  e-k
[check] grid [-7, 7], multiple of 2**k with k in [0, 4] (form b), <= 15 levels per group: all groups; float identity stored * scale == q * 2**-pos on 63 convs
conv                                                    shape form  grp pos8    pos4     k edge  SQNR8  SQNR4  clip% lvl sh-k  e-k
/model.0/conv/Conv                              (16, 3, 3, 3)    b    1    2      -1     3       33.93  15.67  0.231  13    4    2
/model.1/conv/Conv                             (32, 16, 3, 3)    b    1    5       2     3       29.86  11.18  0.326  15    4    0
/model.2/cv1/conv/Conv                         (32, 32, 1, 1)    b    1    6       3     3       27.92  11.39  0.098  10    2   -1
/model.2/m.0/cv1/conv/Conv                     (16, 16, 3, 3)    b    1    5       2     3       30.51  11.48  0.434  15    2    0
/model.2/m.0/cv2/conv/Conv                     (16, 16, 3, 3)    b    1    7       4     3       33.22  11.87  0.955  15    4    2
/model.2/cv2/conv/Conv                         (32, 48, 1, 1)    b    1    7       3     4       32.29  11.87  0.130  15    2    0
/model.3/conv/Conv                             (64, 32, 3, 3)    b    2    8       5     3       34.63  14.13  0.901  15    5    5
/model.4/cv1/conv/Conv                         (64, 64, 1, 1)    b    2    6    3..4  2..3       33.20  12.69  1.001  15    3    2
/model.4/m.0/cv1/conv/Conv                     (32, 32, 3, 3)    b    1    7       4     3       33.56  13.30  0.477  15    4    3
/model.4/m.0/cv2/conv/Conv                     (32, 32, 3, 3)    b    1    6       4     2       28.29  12.32  0.597  15    5    3
/model.4/m.1/cv1/conv/Conv                     (32, 32, 3, 3)    b    1    8       5     3       32.83  13.06  1.118  15    5    3
/model.4/m.1/cv2/conv/Conv                     (32, 32, 3, 3)    b    1    6       3     3       34.76  14.47  0.684  15    4    3
/model.4/cv2/conv/Conv                        (64, 128, 1, 1)    b    2    7       4     3       33.56  14.82  0.232  15    4    3
/model.5/conv/Conv                            (128, 64, 3, 3)    b    4    8       5     3       30.56  13.47  0.541  15    6    5
/model.6/cv1/conv/Conv                       (128, 128, 1, 1)    b    4    6    3..4  2..3       32.05  13.60  0.415  15    4    3
/model.6/m.0/cv1/conv/Conv                     (64, 64, 3, 3)    b    2    6       4     2       26.94  11.81  0.372  15    4    3
/model.6/m.0/cv2/conv/Conv                     (64, 64, 3, 3)    b    2    7       5     2       29.34  12.70  0.694  15    6    4
/model.6/m.1/cv1/conv/Conv                     (64, 64, 3, 3)    b    2    8       5     3       30.80  14.75  0.537  15    5    3
/model.6/m.1/cv2/conv/Conv                     (64, 64, 3, 3)    b    2    6       4     2       28.41  13.82  0.613  15    5    4
/model.6/cv2/conv/Conv                       (128, 256, 1, 1)    b    4    8       5     3       35.78  15.56  0.671  15    5    4
/model.7/conv/Conv                           (256, 128, 3, 3)    b    8    8       5     3       33.54  15.03  0.154  15    5    4
/model.8/cv1/conv/Conv                       (256, 256, 1, 1)    b    8    7       4     3       31.65  15.76  1.601  15    5    4
/model.8/m.0/cv1/conv/Conv                   (128, 128, 3, 3)    b    4    7       5     2       31.47  14.71  1.548  15    4    3
/model.8/m.0/cv2/conv/Conv                   (128, 128, 3, 3)    b    4    7       5     2       26.67  13.64  0.443  15    6    5
/model.8/cv2/conv/Conv                       (256, 384, 1, 1)    b    8    8       5     3       34.43  16.31  0.289  15    4    3
/model.9/cv1/conv/Conv                       (128, 256, 1, 1)    b    4    7    4..5  2..3       32.66  14.77  1.624  15    5    5
/model.9/cv2/conv/Conv                       (256, 512, 1, 1)    b    8    8       5     3       27.11  12.55  0.124  15    5    5
/model.12/cv1/conv/Conv                      (128, 384, 1, 1)    b    4    6       4     2       29.65  15.13  0.515  15    4    3
/model.12/m.0/cv1/conv/Conv                    (64, 64, 3, 3)    b    2    8       5     3       34.41  14.45  1.058  15    6    5
/model.12/m.0/cv2/conv/Conv                    (64, 64, 3, 3)    b    2    7       4     3       31.75  14.61  0.182  15    5    3
/model.12/cv2/conv/Conv                      (128, 192, 1, 1)    b    4    7       4     3       34.19  15.22  0.427  15    5    4
/model.15/cv1/conv/Conv                       (64, 192, 1, 1)    b    2    7       4     3       32.19  13.16  0.431  15    5    5
/model.15/m.0/cv1/conv/Conv                    (32, 32, 3, 3)    b    1    7       4     3       33.82  15.13  0.423  15    4    4
/model.15/m.0/cv2/conv/Conv                    (32, 32, 3, 3)    b    1    6       3     3       31.48  13.15  0.184  15    5    5
/model.15/cv2/conv/Conv                        (64, 96, 1, 1)    b    2    7       3     4       34.15  13.12  0.146  15    4    4
/model.16/conv/Conv                            (64, 64, 3, 3)    b    2    8       5     3       30.13  13.88  1.080  15    6    5
/model.22/cv2.0/cv2.0.0/conv/Conv              (64, 64, 3, 3)    b    2    7       4     3       29.73  11.63  0.331  15    6    4
/model.22/cv3.0/cv3.0.0/conv/Conv              (80, 64, 3, 3)    b    3    7    4..5  2..3       30.59  12.40  0.621  15    5    5
/model.18/cv1/conv/Conv                      (128, 192, 1, 1)    b    4    7    3..4  3..4       36.21  14.17  1.135  15    4    3
/model.22/cv2.0/cv2.0.1/conv/Conv              (64, 64, 3, 3)    b    2    5       2     3       24.49   9.28  0.130  15    5    2
/model.22/cv3.0/cv3.0.1/conv/Conv              (80, 80, 3, 3)    b    3    4    1..3  1..3       21.66   9.84  0.273  15    4    4
/model.22/cv2.0/cv2.0.2/Conv                   (64, 64, 1, 1)    b    2    8       5     3       33.10  14.12  0.903  15    4    2
/model.22/cv3.0/cv3.0.2/Conv                   (80, 80, 1, 1)    b    3    9       6     3       39.70  16.10  3.250  15    6    5
/model.18/m.0/cv1/conv/Conv                    (64, 64, 3, 3)    b    2    7       5     2       28.34  12.77  0.643  15    5    3
/model.18/m.0/cv2/conv/Conv                    (64, 64, 3, 3)    b    2    6       3     3       30.56  11.70  0.252  15    4    3
/model.18/cv2/conv/Conv                      (128, 192, 1, 1)    b    4    6       4     2       26.35  11.20  0.427  15    4    3
/model.19/conv/Conv                          (128, 128, 3, 3)    b    4    8       5     3       32.77  13.97  0.221  15    6    5
/model.22/cv2.1/cv2.1.0/conv/Conv             (64, 128, 3, 3)    b    2    6       4     2       25.04   9.18  0.345  15    6    4
/model.22/cv3.1/cv3.1.0/conv/Conv             (80, 128, 3, 3)    b    3    7       5     2       24.33  11.73  0.751  15    6    5
/model.21/cv1/conv/Conv                      (256, 384, 1, 1)    b    8    7       4     3       32.59  15.04  1.354  15    4    3
/model.22/cv2.1/cv2.1.1/conv/Conv              (64, 64, 3, 3)    b    2    5       2     3       23.00   8.46  0.043  15    4    1
/model.22/cv3.1/cv3.1.1/conv/Conv              (80, 80, 3, 3)    a    3    3    0..4 -1..3       16.35   8.09  0.335  15    3    2
/model.22/cv2.1/cv2.1.2/Conv                   (64, 64, 1, 1)    b    2    8       5     3       33.88  14.24  1.196  15    4    2
/model.22/cv3.1/cv3.1.2/Conv                   (80, 80, 1, 1)    b    3    9    5..6  3..4       37.02  16.12  1.828  15    4    3
/model.21/m.0/cv1/conv/Conv                  (128, 128, 3, 3)    b    4    7       5     2       27.88  12.68  0.539  15    5    4
/model.21/m.0/cv2/conv/Conv                  (128, 128, 3, 3)    b    4    7       4     3       28.38  11.60  0.259  15    5    4
